energy (kV),6,13,14,26,29,47,79
1,0.063,0.1659,0.1849,0.3211,0.3559,0.4798,0.6043
2,0.0771,0.1875,0.2019,0.3336,0.3725,0.4865,0.6126
3,0.0737,0.1824,0.204,0.3335,0.3668,0.4814,0.586
4,0.0704,0.1746,0.188,0.3246,0.3583,0.4688,0.5821
5,0.0682,0.1794,0.1907,0.3206,0.3447,0.4535,0.577
10,0.0608,0.1667,0.1784,0.3196,0.3472,0.4444,0.5556
20,0.0528,0.1674,0.1645,0.2907,0.3339,0.431,0.5495
30,0.0537,0.163,0.1703,0.2989,0.3263,0.4286,0.5324
40,0.0599,0.1593,0.1655,0.2987,0.3146,0.4267,0.5362
50,0.0548,0.1589,0.1733,0.299,0.3225,0.4388,0.5379
60,0.0565,0.1623,0.1716,0.303,0.3175,0.4271,0.5436
